id,label,txt
1,0,shower continu throughout week bahia cocoa zone allevi drought sinc earli januari improv prospect come temporao although normal humid level restor comissaria smith said weekli review dri period mean temporao late year arriv week end februari digit digit bag digit kilo make cumul total season digit mln digit stage last year seem cocoa deliv earlier consign includ arriv figur comissaria smith said still doubt much old crop cocoa still avail harvest practic come end total bahia harvest estim around figur mln bag sale stand almost figur mln hundr thousand bag still hand farmer middlemen export processor doubt much cocoa would fit export shipper experienc dificulti obtain bahia superior certif view lower qualiti recent week farmer sold good part cocoa held consign comissaria smith said spot bean price rose figur figur cruzado per arroba figur kilo bean shipper reluct offer nearbi consign limit sale book march consign figur figur dlr per tonn port name new harvest sale also light open port junejuli figur figur dlr figur figur dlr new york juli augsept figur figur figur dlr per tonn fob routin sale butter make marchapril sold figur figur figur dlr aprilmay butter went figur time new york may junejuli figur figur dlr augsept figur figur dlr figur figur time new york sept octdec figur dlr figur time new york dec comissaria smith said destin covert currenc area uruguay open port cake sale regist figur figur dlr marchapril figur dlr may figur dlr aug figur time new york dec octdec buyer argentina uruguay convert currenc area liquor sale limit marchapril sell figur figur dlr junejuli figur dlr figur time new york juli augsept figur dlr figur time new york sept octdec figur time new york dec comissaria smith said total bahia sale current estim figur mln bag figur harvest figur mln bag figur harvest final figur period februari figur expect publish brazilian cocoa trade commiss carniv end midday februari figur reuter
2,0,measur oil north america inc state programm form ventur manag money market borrow invest activ compani north america subordin british oil plc besid possess figur pct involv measur oil ventur name bpstandard fiscal trade run measur oil oversight joint direct commiss reuter
3,0,texa commerci bancshar inc texa commerci bankhouston state regist applic account currenc endeavor make larg bank network harri counti bank state network would link figur bank figur billion dlr asset figur billion dlr deposit reuter
4,0,bankamerica corpor pressur enact quickli suggest equiti offer would well hold stock recent poor perform bank analyst state analyst state urg bankamerica hold onebilliondlr equiti offer yet approv secur exchang committ bankamerica stock hide week along bank issu intellig brazil suspend involv payment larg part foreign debt stock trade around figur figur afternoon fall figur earlier week intellig bank analyst state immedi threat first interst bancorp coup command travel bankamerica pressur sell secur market nervou bank stock approach term bankamerica regist offer januari figur see singl major factor lead first interst retir coup command februari figur bankamerica spokesman state sec approv pick longer expect market condit must reassess fortun time find state arthur miller bankamerica frailti presid fiscal commun ask bankamerica would continu offer directli receiv sec approv put long conceiv could state lawrenc cohn analyst merril lynch pierc fenner smith cohn state longer bankamerica delay longer show market better fiscal outlook although bankamerica yet stipul type equiti would offer analyst believ convert prefer stock would cover least constitu offer depress stock cost would mean lower transit cost dilut bankamerica stock holder observ daniel william analyst sutro group sever analyst state believ brazilian debt problem proceed hang bank industri fourth initi shock reaction like easi approach week still bankamerica hold figur billion dlr brazilian loan base lose figur mln dlr involv rate trim debt much figur mln dlr brazil wage involv year state joseph arsenio analyst birr wilson observ still potenti lose would show current fourth major bank stand lose eve bankamerica brazil neglect servic debt analyst state expect debt restructur similar way mexico debt minim lose creditor bank reuter
5,0,america agricultur section account farmerown reserv subject fiveday averag cost februari figur follow dlrsbusorghum hundredweight natl loan relea call avg ratex level cost cost wheat figur figur four figur figur six figur corn figur figur four figur figur figur ten figur rate natl loan relea call avg ratex level cost cost oat figur figur figur barley figur four figur figur figur sorghum figur figur four figur figur figur reserv two three matur level four reflect grain enter octob figur figur feedgrain juli figur figur wheat level wheatbarley figur cornsorghum figur level six screen wheat enter januari figur figur figur rate ydlr per hundredweight figur pound nanot avail reuter
6,0,argentin grain board figur show harvest registr grain oils product februari figur thousand tonn screen futur load month figur sum figur sum februari figur figur bracket bread wheat prev figur februari figur mar figur sum figur figur corn march figur sum figur nil sorghum nil nil oils export registr sunflowerse sum figur figur soy may figur sum figur nil board besid detail export registr subproduct follow subproduct wheat prev figur februari figur mar figur april figur sum figur figur lins prev figur februari figur march figur april figur sum figur figur soy prev figur februari figur march nil april nil may figur sum figur figur sunflowerse prev figur februari figur march figur april figur sum figur figur veget oil registr sunoil prev figur februari figur march figur april figur may nil jun figur sum figur figur linoil prev figur februari figur march figur april figur sum figur figur soy oil prev figur februari figur march nil april figur may figur jun figur jul figur sum figur figur reuter
7,0,red lion lodg express partnership state regist registr statement secur exchang committ cover suggest offer figur unit express partnership involv compani state expect offer price figur dlr per unit state return offer along figur mln dlr mortgag loan util financ plan acquisit figur red lion hotel reuter
8,0,moodi investor servic inc state lower debt prefer stock rate usx corpor unit seven billion dlr secur impact moodi state marathon oil recent constitut singl billion dlr product payment instal fertil yate field import neg deduct usx unsecur creditor compani look posit steel section return net late figur moodi add rate lower includ usx senior debt figur figur reuter
9,1,champion product inc state board manag approv twoforon stock split park part stockhold record april figur figur compani besid state board vote urg stockhold annual meet april figur addit pass capit stock five mln figur mln part reuter
10,0,comput termin system inc said complet sale figur part common stock warrant acquir addit one mln part sedio lugano switzerland figur dlr compani said warrant exercis five year purcha price figur dlr per part comput termin said sedio also right buy addit part addit total hold figur pct comput termin outstand common stock certain circumst involv chang control compani compani said condit occur warrant would exercis price equal figur pct common stock market price time exceed figur dlr per part comput termin also said sell technolgi right dot matrix impact technolog includ futur improv woodco inc houston tex figur dlr said would continu exclu worldwid licens technolog woodco compani said move part reorgan plan would help pay current oper cost ensur product deliveri comput termin make comput gener label form tag ticket printer termin reuter
11,1,shr figur figur dlr net figur figur asset figur mln figur mln deposit figur mln figur mln loan figur mln figur mln note figur qtr avail year includ figur extraordinari addit tax carri forward figur dlr five per shr reuter
12,1,ohio mattress state first fourth termin februari figur net may figur mln dlr figur part clear first fourth fiscal figur compani state declin would due expen associ acquisit center current fourth seven licens seali inc well figur pct outstand capit stock seali acquisit state first fourth sale well higher final year figur mln dlr note typic studi first fourth effect late march state studi like publish earli april year state hold due administr consid includ conduct apprai connect acquisit reuter
13,1,oper shr loss two net seven oper shr net figur net figur rev figur mln figur mln avg shr figur mln figur mln six mth oper shr net nil net figur oper net net figur net figur rev figur mln figur mln avg shr figur mln figur mln note per shr comput payment prefer dividend effect except credit figur four figur nine figur qtr six mth figur six figur figur prior period run loss carryforward reuter
14,1,shr singl dlr figur net figur mln figur mln rev figur mln figur mln nine mth shr figur dlr figur dlr net figur mln figur mln rev figur billion figur mln reuter
15,0,subject intergroup inc state programm file registr statement secur exchang commiss offer cumul convert prefer partnership unit permian partner permian partner late organ subject intergroup keep concern permian corpor get compani figur compani state permian keep manag concern gener partner retain figur pct interest partnership form green gener partnership unit say mani unit would offer cost would reuter
16,0,bankamerica corpor pressur enact quickli suggest equiti offer would well hold stock recent poor perform bank analyst state analyst state urg bankamerica hold onebilliondlr equiti offer yet approv secur exchang commiss bankamerica stock fell week along bank issu intellig brazil suspend involv payment larg part foreign debt stock trade around figur figur afternoon fall figur earlier week intellig bank analyst state immedi threat first interst bancorp takeov dictat travel bankamerica pressur sell secur market nervou bank stock near term bankamerica regist offer januari figur see singl major factor lead first interst retir takeov dictat februari figur bankamerica spokesman state sec approv take longer expect market condit must reassess fortun time find state arthur miller bankamerica vice presid fiscal commun ask bankamerica would continu offer directli receiv sec approv put long conceiv could state lawrenc cohn analyst merril lynch pierc fenner smith cohn state longer bankamerica delay longer show market better fiscal outlook although bankamerica yet stipul type equiti would offer analyst believ convert prefer stock would cover least part offer depress stock cost would mean lower transit cost dilut bankamerica stock holder remark daniel william analyst sutro group sever analyst state believ brazilian debt problem keep hang bank industri fourth initi shock reaction like easi come week still bankamerica hold figur billion dlr brazilian loan base lose figur mln dlr involv rate trim debt much figur mln dlr brazil wage involv year state joseph arsenio analyst birr wilson remark still potenti lose would show current fourth major bank stand lose even bankamerica brazil fail servic debt analyst state expect debt restructur similar way mexico debt minim lose creditor bank reuter
17,0,subject well enhanc system inc state offer new well rate system line fit assess plan compani state plan name well test avail figur year client util plan receiv computergener studi recommend implement plan better physic statu reuter
18,1,dean food expect net fourth fourth termin may figur surpass yearago period presid kenneth dougla state analyst fiscal figur fourth fourth food processor account net figur part dougla also state year sale surpass figur billion dlr figur billion dlr prior year reiter earlier project thirdquart net like slightli final year figur part fall reach figur figur part dougla state earli undertak whether expect fourth fourth perform would suffici america surpass prior year over net figur dlr part figur dougla state dean experi figur pct better bottom line effect tax reform enact alon presid howard dean state fiscal figur compani deduct benefit variou dairi freez veget acquisit ryan milk larsen dean also state compani benefit acquisit late dec elgin liquid inc occid chicago state compani major sharehold ebi food ltd unit land liquid licen agreement australia canada brazil japan suppli ann entri mcdonald corpor mcd age dougla state analyst reuter
19,0,good recognit corp ccc accept export bonu offer screen sale figur long load wheat flour north yemen america agricultur section state wheat four load marchmay bonu present figur dlr per tonn pay form good ccc inventori bonu present pillsburi compani wheat flour purcha complet export enhanc plan initi announc april figur state reuter
